Rank,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
181,SIGNATORY VINTAGE SCOTCH WHISKY COMPANY ,Pitlochry,16.5,11.6,Mar 25
182,MANSFIELD CARE GROUP ,Edinburgh,18.5,4.0,Mar 25
183,FORSYTH OF DENNY ,Stirling,21.9,2.2,Dec 24
184,2I ,Edinburgh,25.5,1.6,Dec 24
185,BOOTH WELSH NEXUS ,Irvine,29.8,3.4,Jun 24
186,RIGHT MEDICINE PHARMACY ,Stirling,37.6,0.4,Feb 25
187,CKD GALBRAITH LLP,Edinburgh,17.8,4.9,Mar 25
188,LEES OF SCOTLAND ,Coatbridge,41.2,1.8,Jun 24
189,MACGREGOR INDUSTRIAL SUPPLIES ,Inverness,49.6,0.1,Mar 25
190,MP GROUP U K ,Glasgow,29.5,0.9,Apr 25
191,DICKSONS OF FORRES ,Inverness,56.5,0.2,Mar 25
192,MALCOLM ALLAN HOUSEBUILDERS ,Inverurie,22.1,2.0,May 25
193,SIMPLE ONLINE HEALTHCARE ,Glasgow,61.2, (0.6),Feb 25
194,ORD INDUSTRIAL & COMMERCIAL SUPPLIES ,Muir Of Ord,17.6,4.8,Mar 25
195,CITY BUILDING (CONTRACTS) LLP,Glasgow,46.0,0.1,Mar 25
196,IT IS ON ,Glasgow,23.9,1.5,Dec 24
197,MCINROY & WOOD PORTFOLIOS ,Haddington,16.3,7.6,Apr 25
198,THE SCOTTISH PROFESSIONAL FOOTBALL LEAGUE ,Glasgow,49.7, (0.0),May 25
199,SCOTTISH RUGBY ,Edinburgh,79.4, (3.8),Jun 25
200,SPACERIGHT EUROPE ,Glasgow,20.0,2.5,Dec 24
